id;name;region
1;Белоярский;Ханты-Мансийский Автономный округ - Югра
2;Когалым;Ханты-Мансийский Автономный округ - Югра
3;Лангепас;Ханты-Мансийский Автономный округ - Югра
4;Лянтор;Ханты-Мансийский Автономный округ - Югра
5;Мегион;Ханты-Мансийский Автономный округ - Югра
6;Нефтеюганск;Ханты-Мансийский Автономный округ - Югра
7;Нижневартовск;Ханты-Мансийский Автономный округ - Югра
8;Нягань;Ханты-Мансийский Автономный округ - Югра
9;Покачи;Ханты-Мансийский Автономный округ - Югра
10;Пыть-Ях;Ханты-Мансийский Автономный округ - Югра
11;Радужный;Ханты-Мансийский Автономный округ - Югра
12;Советский;Ханты-Мансийский Автономный округ - Югра
13;Сургут;Ханты-Мансийский Автономный округ - Югра
14;Урай;Ханты-Мансийский Автономный округ - Югра
15;Ханты-Мансийск;Ханты-Мансийский Автономный округ - Югра
16;Югорск;Ханты-Мансийский Автономный округ - Югра
17;Губкинский;Ямало-Ненецкий
18;Лабытнанги;Ямало-Ненецкий
19;Муравленко;Ямало-Ненецкий
20;Надым;Ямало-Ненецкий
21;Новый Уренгой;Ямало-Ненецкий
22;Ноябрьск;Ямало-Ненецкий
23;Салехард;Ямало-Ненецкий
24;Тарко-Сале;Ямало-Ненецкий
