Группа ТМЦ,Наименование,Артикул
Двери,Замок сувальдный Гардиан 30.01,30701000008
Двери,Замок противопожарный Apecs 2000-Panic-ZN,30702000012
Двери,Цилиндровый механизм с вертушкой A202/80 mm (35+10+35) PB латунь 5 кл.,30704000003
Двери,Цилиндровый механизм с вертушкой 100 ZM 60 mm (25+10+25) CP хром 5 кл.,30704000041
Двери,"Ручка дверная 26D с кв. 130 мм, хром",70500000001
Запчасти,Ручка Н-205R,70501000060
Запчасти,"Накладка под сувальду Antero, овал",70501000061
Запчасти,"Накладка под цилиндр Antero, овал",70501000062
Двери,Ручка-штанга нажимная Apecs PB-1300A-Panic-B/S,70502000058
Двери,Замок врезной цилиндровый Kale 257 w/b (никель),70502000215
Двери,Эксцентрик большой 264.003,70502000311
Двери,Ручка PALIDORE A-230HH/PC,70502000327
Двери,Доводчик дверной Нора-М 430 50-110 серебро,70502000405
Двери,Доводчик дверной Нора-М 440 80-140 серебро,70502000406
Двери,Декоративная накладка под цилиндр ESC 486-C SQ XL (хром) CP-8,70502000446
Двери,Декоративная накладка со шторкой на сувальдный замок ESC 486-S SQ XL (хром) CP-8,70502000447
Двери,Ручка раздельная TOR XL (хром) CP-8,70502000449
Двери,Ручки на планке Avers HP-72.1303-BL (Spring),70502000457
Двери,Цилиндровый механизм с вертушкой A202/90 mm (35+10+45) SN мат. никель 5 кл,70502000501
Двери,"Доводчик дверной морозостойкий 4S мал (до 120 кг), серебро",70502000555
Импорт/Прочее,Тележка WKS-7/72 (01RS3P7),10111100
Импорт/Прочее,Тайник Капитал (blue),1070960100
Импорт/Прочее,Тайник История (red),1070960200
Импорт/Прочее,Кэшбокс CB-9701N (l. grey),S70107970112
Импорт/Прочее,Кэшбокс CB-9703N ( green),S70107970304
Импорт/Прочее,Кэшбокс СВ-9705N (red),S70107970505
Импорт/Прочее,Кэшбокс CB-9707N (blue),S70107970707
Импорт/Прочее,Брелок key tag 1/100,S7020700001
Импорт/Прочее,Почтовый ящик LT-01 (green),S70307000104
Импорт/Прочее,Почтовый ящик LT-02 (black),S70307000201
Импорт/Прочее,Почтовый ящик LTP-01 (green),S70307000604
Импорт/Прочее,Почтовый ящик LTP-02 (brown),S70307000708
Импорт/Прочее,Шкаф для ключей KB-20,S70207002002
Импорт/Прочее,Шкаф для ключей KB-50,S70207005002
Импорт/Прочее,Шкаф для ключей KB-70,S70207007002
Импорт/Прочее,Шкаф для ключей KB-120,S70207012002
Мебель,Папки FP FS (1/50-оранж),20001110
Мебель,Папки FP FS (1/50-син),20001120
Мебель,Папки FP A4 (1/50-оранж),20001210
Мебель,Папки FP A4 (1/50-син),20001220
Запчасти,замок Euro-Lock 0805,50499012000
Двери,Стенд на 4 двери,D000000000000000000010014
Двери,Люк 860x860 R,D000000000000000000010403
Двери,Дверь СПЕЦ BMD-2050/850/L ит ор антик медь,D110430104184114296009600
Двери,Дверь СПЕЦ BMD-2050/850/R ит ор антик медь,D110430104284114296009600
Двери,Дверь СПЕЦ BMD-2050/950/L ит ор антик медь,D110430304184114296009600
Двери,Дверь СПЕЦ BMD-2050/950/R ит ор антик медь,D110430304284114296009600
Двери,Дверь ПРОФИ BMD-2050/850/L антик медь,D110440104184114101009600
Двери,Дверь ПРОФИ BMD-2050/850/R антик медь,D110440104284114101009600
Двери,Дверь ПРОФИ BMD-2050/950/L антик медь,D110440304184114101009600
Двери,Дверь ПРОФИ BMD-2050/950/R антик медь,D110440304284114101009600
Двери,Дверь  ПРОФИ (DL)-2050/1250/ L мет/мет антик медь,D120400504284114101504800
Двери,Дверь  ПРОФИ (DL)-2050/1250/ R мет/мет антик медь,D120400504384114101504800
Двери,Дверь СПЕЦ PRO BMD-2060/860/ L  ит ор антик медь,D110470104184114296004800
Двери,Дверь СПЕЦ PRO BMD-2060/860/ R  ит ор антик медь,D110470104284114296004800
Двери,Дверь СПЕЦ PRO BMD-2060/960/ L  ит ор антик медь,D110470304184114296004800
Двери,Дверь СПЕЦ PRO BMD-2060/960/ R  ит ор антик медь,D110470304284114296004800
Двери,Дверь***** СПЕЦ-2050/850/ L ит ор антик медь,D120420104184114296004800
Двери,Дверь***** СПЕЦ-2050/950/ L  ит ор антик медь,D120420304184114296004800
Двери,Дверь ****СПЕЦ-2050/950/ R  ит ор антик медь,D120420304284114296004800
Двери,Дверь МАСТЕР-2050/850/ L скин ОРИОН( пикар),D130500104184114291009600
Двери,Дверь МАСТЕР-2050/850/ R скин ОРИОН( пикар),D130500104284114291009600
Двери,Дверь МАСТЕР-2050/950/ L скин ОРИОН( пикар),D130500304184114291009600
Двери,Дверь МАСТЕР-2050/950/ R скин ОРИОН( пикар),D130500304284114291009600
Двери,Дверь *****МАСТЕР-2050/950/ R ит ор антик медь,N130500304284114296009600
Двери,Дверь****** МАСТЕР-2050/950/ L ит ор антик медь,N130500304184114296009600
Двери,Дверь ******МАСТЕР-2050/850/ R ит ор антик медь,N130500104284114296009600
